Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2035,7.49,397.4538783746958,1.2444505703874325,1.8740477279673866,8.559999999999999,397.71693618321905,1.2445540798791823,1.877587494018088,9.629999999999999,397.9799939917424,1.2446575436458245,1.881124919571718,10.7,398.24305180026573,1.2447609617349678,1.8846600077213094
2036,7.1690000000000005,395.5362248072019,1.2469912457512498,1.8481723316819647,8.346,395.8556534595547,1.2471287376863704,1.8524911614041883,9.523,396.17508211190756,1.24726615610825,1.8568065075290079,10.7,396.49451076426044,1.2474035011095506,1.8611183756716803
2037,6.848000000000001,393.63843471105787,1.24929788319323,1.8224411542707755,8.132,394.01926999036357,1.2494759474102628,1.8276146424265938,9.415999999999999,394.4001052696694,1.2496538983251282,1.83278313261515,10.7,394.78094054897525,1.2498317361077842,1.8379466344839284
2038,6.527,391.7601108168367,1.251373970301455,1.7968514659527366,7.917999999999999,392.2072877905563,1.2515997401536967,1.8029547734961684,9.309,392.654464764276,1.2518253414469163,1.8090511262881968,10.7,393.10164173799575,1.2520507744777394,1.815140540160736
2039,6.2059999999999995,389.90086380049996,1.253222937835037,1.7714005591802284,7.703999999999999,390.41921883474515,1.2535040812214198,1.7785084112087466,9.201999999999998,390.93757386899046,1.2537849812687956,1.785606832482973,10.7,391.4559289032358,1.2540656384734647,1.7926958479953512
2040,5.885000000000001,388.06031212448994,1.2548481604737123,1.7460857487664851,7.49,388.65458485805027,1.2551928709458828,1.7542724328568564,9.094999999999999,389.24885759161066,1.2555372390937833,1.7624466086466821,10.7,389.8431303251711,1.2558812657181904,1.7706083143001115
2041,5.564,386.23808188200013,1.2562529575608492,1.7209043719977948,7.276,386.91291716088926,1.2566699455087251,1.7302437369171297,8.988,387.58775243977846,1.257086462595341,1.7395668267411173,10.7,388.2625877186677,1.2575025100725827,1.7488736980941662
2042,5.242999999999999,384.4338066443601,1.2574405938398154,1.69585378873087,7.061999999999999,385.19375641767147,1.2579390777578032,1.7064192435137397,8.880999999999998,385.95370619098287,1.2584369266792113,1.7169638742115687,10.7,386.71365596429433,1.2589341425076659,1.7274877627497727
2043,4.922000000000001,382.6471273114729,1.2584142801836535,1.6709313814758011,6.848,383.496652489318,1.2590039780196165,1.68279589485825,8.774,384.3461776671632,1.259592834344223,1.6946341549224961,10.7,385.19570284500844,1.2601808519820215,1.7064462775966385
2044,4.601,380.87769196524346,1.2591771743180193,1.6461345554649554,6.6339999999999995,381.82116423953164,1.2598682949069844,1.6593706556662449,8.666999999999998,382.76463651381994,1.2605583175418091,1.6725740900601425,10.7,383.7081087881083,1.261247246322881,1.6857450194838346
